ST_ID,LATITUDE,LONGITUDE,NAME,OSM_ID
2.0,48.4272,42.2162,Чернышков,1401090432.0
6.0,48.5423,42.5028,Обливская,1398620793.0
8.0,48.6062,42.8445,Суровикино,3745995567.0
12.0,48.4829,43.1614,Чир,8713150920.0
15.0,48.44,43.3798,Ложки,8713142292.0
16.0,48.4937,43.4977,Ляпичев,3745953597.0
18.0,48.6338,43.7189,Кривомузгинская,3248937776.0
24.0,48.6718,43.8269,Мариновка,2217978439.0
29.0,48.6924,43.4992,Донская,3745987832.0
30.0,48.6924,43.4992,Донская,3745987832.0
31.0,48.6811,43.9067,Прудбой,2217974381.0
33.0,48.6814,44.0557,Карповская,2155904028.0
34.0,48.7237,45.2127,Ленинск,3637169128.0
35.0,48.7411,45.0231,Заплавное,3637169296.0
36.0,48.7016,45.3551,Солодовка,3637169054.0
37.0,48.6608,45.5151,Колобовка,3637168615.0
39.0,48.5891,45.7525,Разъезд 85 км,752192648.0
40.0,48.5604,45.8123,Капустин Яр,2011442754.0
41.0,48.4873,46.0073,Пологое Займище,2492450877.0
42.0,48.3897,46.1163,Покровка,4017602391.0
43.0,48.2911,46.1706,Владимировка,752168906.0
44.0,48.276,46.1972,Ахтуба,752168908.0
48.0,48.2424,46.7083,Солончак,778791012.0
49.0,48.2612,46.1589,Владимировская Пристань,1302061743.0
50.0,46.3709,47.9847,Правый Берег,1829622871.0
51.0,46.4296,47.9602,Новолесная,2449182782.0
52.0,46.326,48.0515,Кутум,4076132470.0
53.0,46.3611,48.0593,Астрахань-1,6464232284.0
56.0,46.4062,48.0732,Астрахань-II,2458375759.0
58.0,46.5148,48.0756,Рычинский,2448348003.0
63.0,46.7631,48.0563,Аксарайская-II,1829603812.0
65.0,46.6328,48.0459,Дельта,1829619160.0
68.0,46.7319,48.0264,Бузанский,1829616026.0
69.0,46.7194,48.0301,Бузан-Пристань,1829616021.0
71.0,46.7938,48.0057,Аксарайская-I,4074554084.0
73.0,46.9043,47.9131,Досанг,790667750.0
77.0,47.1499,47.6972,Сероглазово,1945921229.0
79.0,47.3191,47.4035,Ашулук,2309405029.0
81.0,47.4112,47.2701,Харабалинская,4074554113.0
82.0,47.5318,47.1323,Чапчачи,2309404969.0
85.0,47.7272,46.8775,Верблюжья,752193572.0
87.0,47.9756,46.8055,Богдо,752193573.0
90.0,48.2295,46.725,Верхний Баскунчак,4074554092.0
93.0,48.3623,46.7401,Молодость,2334334862.0
95.0,48.2117,46.8363,Нижний Баскунчак,2492699084.0
96.0,46.6912,48.3627,Кигаш,2445881527.0
97.0,48.5353,46.7599,Шонай,2334356569.0
99.0,48.8133,46.7591,Сайхин,2334356629.0
100.0,48.9672,46.7961,322 км (Полынный),2334356665.0
102.0,49.1302,46.8378,Эльтон,4074554117.0
104.0,49.2627,46.8411,299 км (Ингеловский),2334393222.0
105.0,49.4249,46.838,Жәнібек,1621856632.0
106.0,49.574,46.8352,Коммунистический,668188324.0
107.0,49.7439,46.845,Кайсацкая,2335034212.0
108.0,49.8842,46.8578,Калашниковский,2335043214.0
109.0,50.0474,46.8722,Палласовка,3104886842.0
112.0,50.3758,46.9038,Гмелинская,3311090974.0
113.0,50.523,46.9168,Глубинный,912370340.0
117.0,46.326,48.0515,Кутум,4076132470.0
118.0,46.3426,47.9512,Трусово,1829622875.0
120.0,46.4296,47.9602,Новолесная,2449182782.0
121.0,46.3709,47.9847,Правый Берег,1829622871.0
122.0,51.5421,45.9984,Саратов-1-Пассажирский,4072001993.0
129.0,51.5922,45.9395,Трофимовский-1,360975844.0
130.0,51.598,45.9341,Трофимовский-1,360975844.0
133.0,51.599,45.9469,Трофимовский-1,360975844.0
134.0,51.5105,45.9626,Саратов-3,2014361429.0
137.0,51.5045,45.9788,Саратов-Порт,2138725210.0
140.0,51.4728,45.9546,Лесопильный,365962737.0
141.0,51.4986,45.9233,Примыкание,309474076.0
146.0,51.4487,45.8433,Черниха,2134158865.0
147.0,51.4414,45.8443,Черниха,2134158865.0
148.0,51.4494,45.8253,бл.-п. Александровка,1672391942.0
149.0,51.4251,45.7535,Буркин,2134781912.0
150.0,51.3934,45.6894,Ивановский,2049560529.0
151.0,51.3444,45.6778,Власовский,1787254179.0
153.0,51.2574,45.5923,Горючка,1787261973.0
155.0,51.4487,45.8898,Кокурино,2134691663.0
156.0,51.4163,45.9507,Нефтяная,620647758.0
157.0,51.1925,45.5148,Паницкая,3757619988.0
160.0,51.0738,45.5285,Бобровка,309472290.0
164.0,50.7921,45.4771,Россоша,2134812896.0
